[0.1s] 加载 338225 顶点
  workers=10, chunksize=50
  [5.0s] 11601/338225 (2313/s, ETA 141s), closure hits=0
  [10.1s] 18551/338225 (1843/s, ETA 173s), closure hits=0
  [15.1s] 24301/338225 (1611/s, ETA 195s), closure hits=0
  [20.1s] 29551/338225 (1471/s, ETA 210s), closure hits=0
  [25.1s] 34401/338225 (1371/s, ETA 222s), closure hits=0
  [30.1s] 38901/338225 (1291/s, ETA 232s), closure hits=0
  [35.2s] 43101/338225 (1225/s, ETA 241s), closure hits=0
  [40.3s] 47151/338225 (1171/s, ETA 249s), closure hits=0
  [45.3s] 51101/338225 (1127/s, ETA 255s), closure hits=0
  [50.4s] 54751/338225 (1086/s, ETA 261s), closure hits=0
  [55.4s] 58401/338225 (1053/s, ETA 266s), closure hits=0
  [60.5s] 61901/338225 (1023/s, ETA 270s), closure hits=0
  [65.5s] 64951/338225 (992/s, ETA 276s), closure hits=0
  [70.5s] 68201/338225 (967/s, ETA 279s), closure hits=0
  [75.5s] 71401/338225 (945/s, ETA 282s), closure hits=0
  [80.7s] 74501/338225 (924/s, ETA 286s), closure hits=0
  [85.8s] 77351/338225 (901/s, ETA 289s), closure hits=0
  [90.9s] 80401/338225 (885/s, ETA 291s), closure hits=0
  [96.0s] 83501/338225 (870/s, ETA 293s), closure hits=0
  [101.1s] 86351/338225 (854/s, ETA 295s), closure hits=0
  [106.5s] 89351/338225 (839/s, ETA 297s), closure hits=0
  [111.5s] 92351/338225 (828/s, ETA 297s), closure hits=0
  [116.6s] 95201/338225 (816/s, ETA 298s), closure hits=0
  [121.9s] 98051/338225 (804/s, ETA 299s), closure hits=0
  [127.2s] 100951/338225 (794/s, ETA 299s), closure hits=0
  [132.2s] 103701/338225 (785/s, ETA 299s), closure hits=0
  [137.2s] 106251/338225 (775/s, ETA 300s), closure hits=0
  [142.2s] 108901/338225 (766/s, ETA 299s), closure hits=0
  [147.5s] 111551/338225 (756/s, ETA 300s), closure hits=0
  [152.5s] 114201/338225 (749/s, ETA 299s), closure hits=0
  [157.5s] 116801/338225 (742/s, ETA 299s), closure hits=0
  [162.5s] 119251/338225 (734/s, ETA 298s), closure hits=0
  [167.5s] 121801/338225 (727/s, ETA 298s), closure hits=0
  [172.6s] 124301/338225 (720/s, ETA 297s), closure hits=0
  [177.6s] 126701/338225 (713/s, ETA 296s), closure hits=0
  [182.8s] 129151/338225 (706/s, ETA 296s), closure hits=0
  [187.8s] 131751/338225 (701/s, ETA 294s), closure hits=0
  [193.2s] 134301/338225 (695/s, ETA 293s), closure hits=0
  [198.3s] 136751/338225 (690/s, ETA 292s), closure hits=0
  [203.6s] 139201/338225 (684/s, ETA 291s), closure hits=0
  [208.8s] 141701/338225 (678/s, ETA 290s), closure hits=0
  [213.9s] 144051/338225 (674/s, ETA 288s), closure hits=0
  [218.9s] 146251/338225 (668/s, ETA 287s), closure hits=0
  [223.9s] 148501/338225 (663/s, ETA 286s), closure hits=0
  [229.0s] 150901/338225 (659/s, ETA 284s), closure hits=0
  [234.0s] 153201/338225 (655/s, ETA 283s), closure hits=0
  [239.2s] 155351/338225 (650/s, ETA 282s), closure hits=0
  [244.2s] 157501/338225 (645/s, ETA 280s), closure hits=0
  [249.3s] 159701/338225 (641/s, ETA 279s), closure hits=0
  [254.3s] 161951/338225 (637/s, ETA 277s), closure hits=0
  [259.6s] 164101/338225 (632/s, ETA 275s), closure hits=0
  [264.7s] 166401/338225 (629/s, ETA 273s), closure hits=0
  [269.8s] 168451/338225 (624/s, ETA 272s), closure hits=0
  [274.8s] 170601/338225 (621/s, ETA 270s), closure hits=0
  [279.8s] 172651/338225 (617/s, ETA 268s), closure hits=0
  [284.9s] 174651/338225 (613/s, ETA 267s), closure hits=0
  [289.9s] 176851/338225 (610/s, ETA 265s), closure hits=0
  [294.9s] 178751/338225 (606/s, ETA 263s), closure hits=0
  [300.1s] 180801/338225 (602/s, ETA 261s), closure hits=0
  [305.2s] 182901/338225 (599/s, ETA 259s), closure hits=0
  [310.2s] 184951/338225 (596/s, ETA 257s), closure hits=0
  [315.3s] 186851/338225 (593/s, ETA 255s), closure hits=0
  [320.3s] 188801/338225 (589/s, ETA 254s), closure hits=0
  [325.3s] 190801/338225 (586/s, ETA 251s), closure hits=0
  [330.5s] 192701/338225 (583/s, ETA 250s), closure hits=0
  [335.5s] 194651/338225 (580/s, ETA 247s), closure hits=0
  [340.5s] 196551/338225 (577/s, ETA 245s), closure hits=0
  [345.5s] 198501/338225 (574/s, ETA 243s), closure hits=0
  [350.6s] 200401/338225 (572/s, ETA 241s), closure hits=0
  [356.1s] 202401/338225 (568/s, ETA 239s), closure hits=0
  [361.2s] 204351/338225 (566/s, ETA 237s), closure hits=0
  [366.2s] 206251/338225 (563/s, ETA 234s), closure hits=0
  [371.3s] 208251/338225 (561/s, ETA 232s), closure hits=0
  [376.3s] 210001/338225 (558/s, ETA 230s), closure hits=0
  [381.3s] 211951/338225 (556/s, ETA 227s), closure hits=0
  [386.7s] 213801/338225 (553/s, ETA 225s), closure hits=0
  [391.7s] 215751/338225 (551/s, ETA 222s), closure hits=0
  [396.9s] 217651/338225 (548/s, ETA 220s), closure hits=0
  [402.0s] 219401/338225 (546/s, ETA 218s), closure hits=0
  [407.0s] 221401/338225 (544/s, ETA 215s), closure hits=0
  [412.3s] 223151/338225 (541/s, ETA 213s), closure hits=0
  [417.7s] 225001/338225 (539/s, ETA 210s), closure hits=0
  [422.8s] 226801/338225 (536/s, ETA 208s), closure hits=0
  [428.1s] 228701/338225 (534/s, ETA 205s), closure hits=0
  [433.1s] 230451/338225 (532/s, ETA 203s), closure hits=0
  [438.2s] 232201/338225 (530/s, ETA 200s), closure hits=0
  [443.3s] 233951/338225 (528/s, ETA 198s), closure hits=0
  [448.5s] 235701/338225 (526/s, ETA 195s), closure hits=0
  [453.7s] 237501/338225 (523/s, ETA 192s), closure hits=0
  [458.7s] 239201/338225 (521/s, ETA 190s), closure hits=0
  [463.9s] 240951/338225 (519/s, ETA 187s), closure hits=0
  [469.1s] 242601/338225 (517/s, ETA 185s), closure hits=0
  [474.4s] 244351/338225 (515/s, ETA 182s), closure hits=0
  [479.5s] 246051/338225 (513/s, ETA 180s), closure hits=0
  [484.7s] 247801/338225 (511/s, ETA 177s), closure hits=0
  [489.7s] 249501/338225 (509/s, ETA 174s), closure hits=0
  [494.8s] 251051/338225 (507/s, ETA 172s), closure hits=0
  [500.1s] 252801/338225 (505/s, ETA 169s), closure hits=0
  [505.2s] 254451/338225 (504/s, ETA 166s), closure hits=0
  [510.5s] 256201/338225 (502/s, ETA 163s), closure hits=0
  [515.5s] 257801/338225 (500/s, ETA 161s), closure hits=0
  [520.7s] 259451/338225 (498/s, ETA 158s), closure hits=0
  [525.8s] 261001/338225 (496/s, ETA 156s), closure hits=0
