加载 338225 G_M 顶点
workers=10, chunksize=50

并行扫描 k_real ...
  [5s] 11801/338225 (2334/s, ETA 140s), k>=9 found=0
  [10s] 18601/338225 (1848/s, ETA 173s), k>=9 found=0
  [15s] 24301/338225 (1613/s, ETA 195s), k>=9 found=0
  [20s] 29251/338225 (1454/s, ETA 213s), k>=9 found=0
  [25s] 33051/338225 (1314/s, ETA 232s), k>=9 found=0
  [30s] 37501/338225 (1237/s, ETA 243s), k>=9 found=0
  [35s] 41601/338225 (1174/s, ETA 253s), k>=9 found=0
  [40s] 45651/338225 (1129/s, ETA 259s), k>=9 found=0
  [45s] 49351/338225 (1086/s, ETA 266s), k>=9 found=0
  [50s] 53201/338225 (1054/s, ETA 270s), k>=9 found=0
  [56s] 56751/338225 (1022/s, ETA 275s), k>=9 found=0
  [61s] 60051/338225 (992/s, ETA 281s), k>=9 found=0
  [66s] 63301/338225 (965/s, ETA 285s), k>=9 found=0
  [71s] 66501/338225 (941/s, ETA 289s), k>=9 found=0
  [76s] 69851/338225 (923/s, ETA 291s), k>=9 found=0
  [81s] 72901/338225 (902/s, ETA 294s), k>=9 found=0
  [86s] 76051/338225 (885/s, ETA 296s), k>=9 found=0
  [91s] 79051/338225 (868/s, ETA 298s), k>=9 found=0
  [96s] 82101/338225 (854/s, ETA 300s), k>=9 found=0
  [101s] 84951/338225 (840/s, ETA 302s), k>=9 found=0
  [106s] 87801/338225 (827/s, ETA 303s), k>=9 found=1
  [111s] 90601/338225 (814/s, ETA 304s), k>=9 found=1
  [116s] 93551/338225 (804/s, ETA 304s), k>=9 found=1
  [121s] 96401/338225 (794/s, ETA 305s), k>=9 found=1
  [127s] 99151/338225 (782/s, ETA 306s), k>=9 found=1
  [132s] 101901/338225 (773/s, ETA 306s), k>=9 found=1
  [137s] 104551/338225 (764/s, ETA 306s), k>=9 found=1
  [142s] 107051/338225 (754/s, ETA 307s), k>=9 found=1
  [147s] 109651/338225 (746/s, ETA 307s), k>=9 found=2
  [152s] 112401/338225 (739/s, ETA 306s), k>=9 found=2
  [157s] 115001/338225 (732/s, ETA 305s), k>=9 found=2
  [162s] 117551/338225 (724/s, ETA 305s), k>=9 found=2
  [167s] 120001/338225 (717/s, ETA 304s), k>=9 found=2
